Budget_Year,Project_type,Project_name,TEI,BP4_Agency,Completion_date,Completion_date_string,Earliest_budget_year,Est_completion_date,Est_exp_to_date,Estimated_completion_date,EstimatedCompletionDM,EstimatedCompletionYear,Fixed_notes,Footnotes,Project_location,Regional,State_Electorate,Remaining_exp,Sector,Start_date
2019-20,,,0,,,,,,0,,,,,,,,GEELONG,0,,
2016-17,,,0,,,,,,0,,,,,,,,GEELONG,0,,
2023-24,,,0,,,,,,0,,,,,,,,GEELONG,0,,
2019-20,,,0,,,,,,0,,,,,,,,GIPPSLAND EAST,0,,
2016-17,,,0,,,,,,0,,,,,,,,GIPPSLAND EAST,0,,
2023-24,,,0,,,,,,0,,,,,,,,GIPPSLAND EAST,0,,
2019-20,,,0,,,,,,0,,,,,,,,GIPPSLAND SOUTH,0,,
2016-17,,,0,,,,,,0,,,,,,,,GIPPSLAND SOUTH,0,,
2023-24,,,0,,,,,,0,,,,,,,,GIPPSLAND SOUTH,0,,
2019-20,,,0,,,,,,0,,,,,,,,GLEN WAVERLEY,0,,
2016-17,,,0,,,,,,0,,,,,,,,GLEN WAVERLEY,0,,
2023-24,,,0,,,,,,0,,,,,,,,GLEN WAVERLEY,0,,
2019-20,,,0,,,,,,0,,,,,,,,GREENVALE,0,,
2016-17,,,0,,,,,,0,,,,,,,,GREENVALE,0,,
2023-24,,,0,,,,,,0,,,,,,,,GREENVALE,0,,
2019-20,,,0,,,,,,0,,,,,,,,HASTINGS,0,,
2016-17,,,0,,,,,,0,,,,,,,,HASTINGS,0,,
2023-24,,,0,,,,,,0,,,,,,,,HASTINGS,0,,
2019-20,,,0,,,,,,0,,,,,,,,HAWTHORN,0,,
2016-17,,,0,,,,,,0,,,,,,,,HAWTHORN,0,,
2023-24,,,0,,,,,,0,,,,,,,,HAWTHORN,0,,
2019-20,,,0,,,,,,0,,,,,,,,IVANHOE,0,,
2016-17,,,0,,,,,,0,,,,,,,,IVANHOE,0,,
2023-24,,,0,,,,,,0,,,,,,,,IVANHOE,0,,
2019-20,,,0,,,,,,0,,,,,,,,KALKALLO,0,,
2016-17,,,0,,,,,,0,,,,,,,,KALKALLO,0,,
2023-24,,,0,,,,,,0,,,,,,,,KALKALLO,0,,
2019-20,,,0,,,,,,0,,,,,,,,KEW,0,,
2016-17,,,0,,,,,,0,,,,,,,,KEW,0,,
2023-24,,,0,,,,,,0,,,,,,,,KEW,0,,
2019-20,,,0,,,,,,0,,,,,,,,KOROROIT,0,,
2016-17,,,0,,,,,,0,,,,,,,,KOROROIT,0,,
2023-24,,,0,,,,,,0,,,,,,,,KOROROIT,0,,
2019-20,,,0,,,,,,0,,,,,,,,LARA,0,,
2016-17,,,0,,,,,,0,,,,,,,,LARA,0,,
2023-24,,,0,,,,,,0,,,,,,,,LARA,0,,
2019-20,,,0,,,,,,0,,,,,,,,LAVERTON,0,,
2016-17,,,0,,,,,,0,,,,,,,,LAVERTON,0,,
2023-24,,,0,,,,,,0,,,,,,,,LAVERTON,0,,
2019-20,,,0,,,,,,0,,,,,,,,LOWAN,0,,
2016-17,,,0,,,,,,0,,,,,,,,LOWAN,0,,
2023-24,,,0,,,,,,0,,,,,,,,LOWAN,0,,
2019-20,,,0,,,,,,0,,,,,,,,MACEDON,0,,
2016-17,,,0,,,,,,0,,,,,,,,MACEDON,0,,
2023-24,,,0,,,,,,0,,,,,,,,MACEDON,0,,
2019-20,,,0,,,,,,0,,,,,,,,MALVERN,0,,
2016-17,,,0,,,,,,0,,,,,,,,MALVERN,0,,
2023-24,,,0,,,,,,0,,,,,,,,MALVERN,0,,
2019-20,,,0,,,,,,0,,,,,,,,MELBOURNE,0,,
2016-17,,,0,,,,,,0,,,,,,,,MELBOURNE,0,,
2023-24,,,0,,,,,,0,,,,,,,,MELBOURNE,0,,
2019-20,,,0,,,,,,0,,,,,,,,MELTON,0,,
2016-17,,,0,,,,,,0,,,,,,,,MELTON,0,,
2023-24,,,0,,,,,,0,,,,,,,,MELTON,0,,
2019-20,,,0,,,,,,0,,,,,,,,MILDURA,0,,
2016-17,,,0,,,,,,0,,,,,,,,MILDURA,0,,
2023-24,,,0,,,,,,0,,,,,,,,MILDURA,0,,
2019-20,,,0,,,,,,0,,,,,,,,MILL PARK,0,,
2016-17,,,0,,,,,,0,,,,,,,,MILL PARK,0,,
2023-24,,,0,,,,,,0,,,,,,,,MILL PARK,0,,
2019-20,,,0,,,,,,0,,,,,,,,MONBULK,0,,
2016-17,,,0,,,,,,0,,,,,,,,MONBULK,0,,
2023-24,,,0,,,,,,0,,,,,,,,MONBULK,0,,
2019-20,,,0,,,,,,0,,,,,,,,MORDIALLOC,0,,
2016-17,,,0,,,,,,0,,,,,,,,MORDIALLOC,0,,
2023-24,,,0,,,,,,0,,,,,,,,MORDIALLOC,0,,
2019-20,,,0,,,,,,0,,,,,,,,MORNINGTON,0,,
2016-17,,,0,,,,,,0,,,,,,,,MORNINGTON,0,,
2023-24,,,0,,,,,,0,,,,,,,,MORNINGTON,0,,
2019-20,,,0,,,,,,0,,,,,,,,MORWELL,0,,
2016-17,,,0,,,,,,0,,,,,,,,MORWELL,0,,
2023-24,,,0,,,,,,0,,,,,,,,MORWELL,0,,
2019-20,,,0,,,,,,0,,,,,,,,MULGRAVE,0,,
2016-17,,,0,,,,,,0,,,,,,,,MULGRAVE,0,,
2023-24,,,0,,,,,,0,,,,,,,,MULGRAVE,0,,
2019-20,,,0,,,,,,0,,,,,,,,MURRAY PLAINS,0,,
2016-17,,,0,,,,,,0,,,,,,,,MURRAY PLAINS,0,,
2023-24,,,0,,,,,,0,,,,,,,,MURRAY PLAINS,0,,
2019-20,,,0,,,,,,0,,,,,,,,NARRACAN,0,,
2016-17,,,0,,,,,,0,,,,,,,,NARRACAN,0,,
2023-24,,,0,,,,,,0,,,,,,,,NARRACAN,0,,
2019-20,,,0,,,,,,0,,,,,,,,NARRE WARREN NORTH,0,,
2016-17,,,0,,,,,,0,,,,,,,,NARRE WARREN NORTH,0,,
2023-24,,,0,,,,,,0,,,,,,,,NARRE WARREN NORTH,0,,
2019-20,,,0,,,,,,0,,,,,,,,NARRE WARREN SOUTH,0,,
2016-17,,,0,,,,,,0,,,,,,,,NARRE WARREN SOUTH,0,,
2023-24,,,0,,,,,,0,,,,,,,,NARRE WARREN SOUTH,0,,
2019-20,,,0,,,,,,0,,,,,,,,NEPEAN,0,,
2016-17,,,0,,,,,,0,,,,,,,,NEPEAN,0,,
2023-24,,,0,,,,,,0,,,,,,,,NEPEAN,0,,
2019-20,,,0,,,,,,0,,,,,,,,NIDDRIE,0,,
2016-17,,,0,,,,,,0,,,,,,,,NIDDRIE,0,,
2023-24,,,0,,,,,,0,,,,,,,,NIDDRIE,0,,
2019-20,,,0,,,,,,0,,,,,,,,NORTHCOTE,0,,
2016-17,,,0,,,,,,0,,,,,,,,NORTHCOTE,0,,
2023-24,,,0,,,,,,0,,,,,,,,NORTHCOTE,0,,
2019-20,,,0,,,,,,0,,,,,,,,OAKLEIGH,0,,
2016-17,,,0,,,,,,0,,,,,,,,OAKLEIGH,0,,
2023-24,,,0,,,,,,0,,,,,,,,OAKLEIGH,0,,
2019-20,,,0,,,,,,0,,,,,,,,OVENS VALLEY,0,,
2016-17,,,0,,,,,,0,,,,,,,,OVENS VALLEY,0,,
2023-24,,,0,,,,,,0,,,,,,,,OVENS VALLEY,0,,
2019-20,,,0,,,,,,0,,,,,,,,PAKENHAM,0,,
2016-17,,,0,,,,,,0,,,,,,,,PAKENHAM,0,,
2023-24,,,0,,,,,,0,,,,,,,,PAKENHAM,0,,
2019-20,,,0,,,,,,0,,,,,,,,PASCOE VALE,0,,
2016-17,,,0,,,,,,0,,,,,,,,PASCOE VALE,0,,
2023-24,,,0,,,,,,0,,,,,,,,PASCOE VALE,0,,
2019-20,,,0,,,,,,0,,,,,,,,POINT COOK,0,,
2016-17,,,0,,,,,,0,,,,,,,,POINT COOK,0,,
2023-24,,,0,,,,,,0,,,,,,,,POINT COOK,0,,
2019-20,,,0,,,,,,0,,,,,,,,POLWARTH,0,,
2016-17,,,0,,,,,,0,,,,,,,,POLWARTH,0,,
2023-24,,,0,,,,,,0,,,,,,,,POLWARTH,0,,
2019-20,,,0,,,,,,0,,,,,,,,PRAHRAN,0,,
2016-17,,,0,,,,,,0,,,,,,,,PRAHRAN,0,,
2023-24,,,0,,,,,,0,,,,,,,,PRAHRAN,0,,
2019-20,,,0,,,,,,0,,,,,,,,PRESTON,0,,
2016-17,,,0,,,,,,0,,,,,,,,PRESTON,0,,
2023-24,,,0,,,,,,0,,,,,,,,PRESTON,0,,
2019-20,,,0,,,,,,0,,,,,,,,RICHMOND,0,,
2016-17,,,0,,,,,,0,,,,,,,,RICHMOND,0,,
2023-24,,,0,,,,,,0,,,,,,,,RICHMOND,0,,
2019-20,,,0,,,,,,0,,,,,,,,RINGWOOD,0,,
2016-17,,,0,,,,,,0,,,,,,,,RINGWOOD,0,,
2023-24,,,0,,,,,,0,,,,,,,,RINGWOOD,0,,
2019-20,,,0,,,,,,0,,,,,,,,RIPON,0,,
2016-17,,,0,,,,,,0,,,,,,,,RIPON,0,,
2023-24,,,0,,,,,,0,,,,,,,,RIPON,0,,
2019-20,,,0,,,,,,0,,,,,,,,ROWVILLE,0,,
2016-17,,,0,,,,,,0,,,,,,,,ROWVILLE,0,,
2023-24,,,0,,,,,,0,,,,,,,,ROWVILLE,0,,
2019-20,,,0,,,,,,0,,,,,,,,SANDRINGHAM,0,,
2016-17,,,0,,,,,,0,,,,,,,,SANDRINGHAM,0,,
2023-24,,,0,,,,,,0,,,,,,,,SANDRINGHAM,0,,
2019-20,,,0,,,,,,0,,,,,,,,SHEPPARTON,0,,
2016-17,,,0,,,,,,0,,,,,,,,SHEPPARTON,0,,
2023-24,,,0,,,,,,0,,,,,,,,SHEPPARTON,0,,
2019-20,,,0,,,,,,0,,,,,,,,SOUTH BARWON,0,,
2016-17,,,0,,,,,,0,,,,,,,,SOUTH BARWON,0,,
2023-24,,,0,,,,,,0,,,,,,,,SOUTH BARWON,0,,
2019-20,,,0,,,,,,0,,,,,,,,SOUTH-WEST COAST,0,,
2016-17,,,0,,,,,,0,,,,,,,,SOUTH-WEST COAST,0,,
2023-24,,,0,,,,,,0,,,,,,,,SOUTH-WEST COAST,0,,
2019-20,,,0,,,,,,0,,,,,,,,ST ALBANS,0,,
2016-17,,,0,,,,,,0,,,,,,,,ST ALBANS,0,,
2023-24,,,0,,,,,,0,,,,,,,,ST ALBANS,0,,
2019-20,,,0,,,,,,0,,,,,,,,SUNBURY,0,,
2016-17,,,0,,,,,,0,,,,,,,,SUNBURY,0,,
2023-24,,,0,,,,,,0,,,,,,,,SUNBURY,0,,
2019-20,,,0,,,,,,0,,,,,,,,SYDENHAM,0,,
2016-17,,,0,,,,,,0,,,,,,,,SYDENHAM,0,,
2023-24,,,0,,,,,,0,,,,,,,,SYDENHAM,0,,
2019-20,,,0,,,,,,0,,,,,,,,TARNEIT,0,,
2016-17,,,0,,,,,,0,,,,,,,,TARNEIT,0,,
2023-24,,,0,,,,,,0,,,,,,,,TARNEIT,0,,
2019-20,,,0,,,,,,0,,,,,,,,THOMASTOWN,0,,
2016-17,,,0,,,,,,0,,,,,,,,THOMASTOWN,0,,
2023-24,,,0,,,,,,0,,,,,,,,THOMASTOWN,0,,
2019-20,,,0,,,,,,0,,,,,,,,WARRANDYTE,0,,
2016-17,,,0,,,,,,0,,,,,,,,WARRANDYTE,0,,
2023-24,,,0,,,,,,0,,,,,,,,WARRANDYTE,0,,
2019-20,,,0,,,,,,0,,,,,,,,WENDOUREE,0,,
2016-17,,,0,,,,,,0,,,,,,,,WENDOUREE,0,,
2023-24,,,0,,,,,,0,,,,,,,,WENDOUREE,0,,
2019-20,,,0,,,,,,0,,,,,,,,WERRIBEE,0,,
2016-17,,,0,,,,,,0,,,,,,,,WERRIBEE,0,,
2023-24,,,0,,,,,,0,,,,,,,,WERRIBEE,0,,
2019-20,,,0,,,,,,0,,,,,,,,WILLIAMSTOWN,0,,
2016-17,,,0,,,,,,0,,,,,,,,WILLIAMSTOWN,0,,
2023-24,,,0,,,,,,0,,,,,,,,WILLIAMSTOWN,0,,
2019-20,,,0,,,,,,0,,,,,,,,YAN YEAN,0,,
2016-17,,,0,,,,,,0,,,,,,,,YAN YEAN,0,,
2023-24,,,0,,,,,,0,,,,,,,,YAN YEAN,0,,
